DEPTH,BS,CALI,CHR1,CHR2,CHRP,CHRS,DRHO,DT1R,DT2,DT2R,DT4P,DT4S,GR,HD1,HD2,HD3,NPOR,PEF,RHOB,SPR1,TENS,VPVS
2879.7504,311.1,311.4431,0.9729,0.9682,0.9728,0.8402,-3.0158,449.1052,419.662,438.7476,249.5982,424.9056,56.0884,316.368,311.0982,306.3907,0.2353,3.771,2437.061,57.8804,6758.0,1.6814
2879.9028,311.1,309.2443,0.9698,0.9674,0.9415,0.7878,-4.3809,455.2295,423.2299,442.4778,248.1176,421.1229,53.8685,316.0964,310.0998,306.5213,0.2404,3.894,2425.3047,52.5858,6734.0,1.7058
2880.0552,311.1,309.3303,0.9709,0.9666,0.9138,0.7888,-1.9625,479.703,433.1411,455.028,252.0677,423.3392,52.3116,315.6203,307.8279,307.705,0.2614,3.8318,2410.05,41.7072,6759.0,1.7184
2880.2076,311.1,309.9735,0.9739,0.9685,0.9522,0.8474,-7.5469,485.1798,440.6992,462.9679,258.4219,446.151,53.4311,317.8092,309.2661,307.0205,0.2894,3.5103,2398.3149,39.4822,6781.0,1.7053
2880.36,311.1,309.3303,0.9762,0.9757,0.9701,0.831,-7.3488,491.078,457.8628,483.3345,262.9701,455.0816,60.667,316.7935,310.8941,307.6596,0.3203,3.5655,2431.6143,37.2545,6665.0,1.7411
2880.5124,311.1,309.6866,0.9835,0.9888,0.966,0.7941,-2.1936,494.4915,461.2804,486.9422,266.7357,464.4208,67.4284,315.8668,310.9821,306.4784,0.3469,3.8447,2488.8684,38.1738,6705.0,1.7294
2880.6648,311.1,309.6866,0.9692,0.9775,0.9146,0.8503,-2.9426,498.9988,464.5453,490.3888,269.9062,476.6504,72.7144,314.9669,310.0946,305.6884,0.3517,3.9131,2507.1465,41.4742,6740.0,1.7211
2880.8172,311.1,309.8802,0.9714,0.9769,0.9141,0.8306,-9.3173,495.4508,463.1016,488.8648,271.532,477.9087,69.8675,317.9131,308.0225,306.4891,0.2952,3.5663,2492.2095,43.1704,6701.0,1.7055
2880.9696,311.1,308.7703,0.961,0.9774,0.9318,0.7943,-8.352,493.0692,461.3829,487.0504,272.0836,474.8694,67.6137,315.6632,308.8868,306.287,0.3004,3.5592,2482.3181,43.827,6768.0,1.6957
2881.122,311.1,309.438,0.9656,0.978,0.9422,0.7289,-3.8848,491.8775,461.6314,487.3127,272.864,476.2102,67.4951,316.8031,310.2713,307.2819,0.3337,3.8096,2498.9712,44.1777,6700.0,1.6918
2881.2744,311.1,309.1912,0.965,0.9773,0.8405,0.6384,1.0771,492.6494,459.9988,485.5893,273.4498,487.8498,70.9351,316.1764,308.9138,305.8947,0.338,4.1636,2508.3071,42.9149,6653.0,1.6822
2881.4268,311.1,309.33,0.9635,0.9626,0.8327,0.6614,0.7944,494.9733,461.6009,487.2805,274.8108,487.8169,70.5792,316.275,309.4145,305.8947,0.3182,3.8812,2475.7053,40.1506,6711.0,1.6797
2881.5792,311.1,308.9488,0.9647,0.9603,0.7979,0.6126,-3.9598,498.4043,466.4505,492.3999,277.8569,492.1732,66.8575,316.275,309.8062,305.2652,0.2992,3.784,2454.8369,41.604,6650.0,1.6787
2881.7316,311.1,309.8649,0.9768,0.9694,0.8102,0.6781,0.0147,516.0737,476.7187,503.2394,280.5209,500.3646,59.503,316.4074,310.0623,305.2652,0.3298,3.6352,2485.1599,31.9902,6752.0,1.6994
2881.884,311.1,310.2096,0.9801,0.9698,0.8174,0.7027,0.8718,521.2195,478.2242,504.8286,282.1638,501.2991,56.3003,317.7535,310.2155,305.6064,0.3193,3.6037,2524.8142,29.6931,6763.0,1.6948
2882.0364,311.1,310.1129,0.9786,0.9662,0.878,0.734,-0.0399,521.5387,479.6707,506.3557,281.2693,504.7625,59.1916,317.868,309.9743,305.3449,0.335,3.5174,2541.4573,44.9613,6684.0,1.7054
2882.1888,311.1,310.0925,0.9791,0.9561,0.9071,0.786,-6.556,506.8671,459.5954,485.1635,277.9528,504.7723,68.2068,317.7809,309.7962,305.5267,0.4002,3.3021,2497.3955,38.6635,6736.0,1.6535
