DEPT,PZ,GZ,CALI,SP
32.6,4.74003138,4.93102279,31.94086974,0.73834086
32.8,4.73765517,5.02638463,31.98876193,0.66977035
33.0,4.85239098,5.03943161,32.00904036,0.61243886
33.2,4.91476654,5.07762669,31.93819559,0.60502338
33.4,4.99213913,5.11604704,31.94237728,0.60662111
33.6,5.04495662,5.2064706,31.94162197,0.86134519
33.8,5.08836331,5.20327159,31.94034929,2.01867635
34.0,5.12144085,5.21058001,31.94666098,2.99345969
34.2,5.12117994,5.07624623,32.18582037,2.99744116
34.4,5.03124495,4.83187426,32.34227277,2.83254252
34.6,4.94782004,4.68694377,32.7528798,2.66716904
34.8,4.90331667,4.6442626,32.90044391,2.4458723
35.0,4.87480377,4.64481025,33.08849632,2.22511275
35.2,4.83259159,4.64634891,33.2927479,2.07293528
35.4,4.78790915,4.64674501,33.68075561,2.07944688
35.6,4.77786478,4.64668289,34.10285905,2.08050012
35.8,4.74079754,4.64668094,34.44438261,2.07839945
36.0,4.73724893,4.64668094,34.49973131,2.07794381
36.2,4.68758144,4.64668094,34.51007477,2.08865374
36.4,4.63107081,4.64668094,34.6174452,2.13702075
36.6,4.59242045,4.64668094,35.00088074,2.23124646
36.8,4.56224891,4.64668094,35.42038832,2.2345232
37.0,4.51371351,4.64668094,35.57557029,2.22649495
37.2,4.51702585,4.64668094,33.61515226,2.21347204
37.4,4.50897475,4.64668094,33.56708436,2.35595273
37.6,4.47330023,4.64668094,34.45471177,2.42537119
37.8,4.47413787,4.64668094,35.26680362,2.51027051
38.0,4.47535988,4.64668094,37.1167216,2.66793604
38.2,4.47549525,4.646679,37.90875819,2.75274924
38.4,4.47537668,4.64673158,38.57251243,2.94725925
38.6,4.47537473,4.6466788,38.99423086,2.95271503
38.8,4.47537473,4.6467445,39.24104815,2.95569124
39.0,4.47537473,4.64774132,39.77871111,2.95674674
39.2,4.47537473,4.62083186,40.21874364,2.95644977
39.4,4.47537473,4.51198111,40.13220917,2.95599565
39.6,4.47537473,4.5131355,39.56486498,2.95612713
39.8,4.47537473,4.38420582,38.9710223,2.95859961
40.0,4.47537473,4.34273463,38.25773689,2.96206737
40.2,4.47537473,4.28760687,37.71762237,2.90250217
40.4,4.47537473,4.50138998,37.25863297,2.81799889
40.6,4.47537473,4.54561909,38.38936978,2.68355967
40.8,4.47537473,4.64007594,38.78128581,2.61553418
41.0,4.47537473,4.69944305,39.24260763,2.46507395
41.2,4.47537473,4.81709242,39.75561546,2.38117066
41.4,4.47537473,4.90339824,40.09487988,2.24267564
41.6,4.47537473,4.96961642,39.66597649,2.17714563
41.8,4.47537473,4.98529909,38.35046615,2.10866828
42.0,4.47537473,4.98976177,37.56500005,2.00936283
42.2,4.47537473,4.99010032,37.36009499,1.95698996
42.4,4.47537473,4.98941793,36.85787405,1.88492816
42.6,4.47537473,4.98929336,36.84682452,1.79683329
42.8,4.47537473,4.98929142,37.04548921,1.65713048
43.0,4.47537473,4.98917284,37.45426043,1.56911948
43.2,4.47537473,4.98930628,38.95771422,1.50360637
43.4,4.47537473,4.99032413,39.10820418,1.36696482
43.6,4.47537473,4.99139316,39.09369436,1.27796959
43.8,4.47537473,4.95758391,39.09689636,1.21020811
44.0,4.47537473,4.95040702,39.10868927,1.07251429
44.2,4.47537473,4.91338032,39.15284785,1.04145489
44.4,4.47537473,4.90513386,38.48760111,0.97951924
44.6,4.47537473,4.90335222,37.50102915,0.98806189
44.8,4.47537473,4.90327859,36.55243068,0.99513224
45.0,4.47537473,4.90357797,36.4181448,0.56710289
45.2,4.47537473,4.90364026,36.38365027,0.56597472
45.4,4.47537473,4.90364026,36.56587045,0.54850958
45.6,4.47537473,4.90355662,36.81202125,0.54460843
45.8,4.47537473,4.90376928,37.3887369,0.54656652
46.0,4.47537473,4.90415664,37.62239568,0.54744526
46.2,4.47537526,4.90315917,38.55358941,0.54765067
46.4,4.47537932,4.89882234,37.06300105,0.54741993
46.6,4.47529718,4.98344275,36.27515493,0.54548303
46.8,4.47505979,4.98207118,35.86113955,0.54389172
47.0,4.47506951,5.03312467,35.76052353,0.60345242
47.2,4.48547169,5.06541141,35.7410084,0.61727588
47.4,4.51177464,5.07326908,35.67607808,0.62082273
47.6,4.53702208,5.07057707,34.60097388,0.62105437
47.8,4.56192991,5.11953699,33.92020705,0.62054411
48.0,4.58683704,5.14914017,33.69620357,0.62043796
48.2,4.6117921,5.15647653,33.69321924,0.62043796
48.4,4.63673584,5.19206252,33.698946,0.62043796
48.6,4.66167958,5.25828078,33.6990794,0.62043796
48.8,4.68662332,5.29079247,33.69953473,0.62043796
49.0,4.71156706,5.28997536,33.69974874,0.62043796
49.2,4.7365108,5.28914787,33.69987426,0.62043796
49.4,4.76145455,5.28904429,33.69991898,0.62043796
49.6,4.78639829,5.28907729,33.69990496,0.62043796
49.8,4.81134203,5.28916481,33.69935482,0.6205805
50.0,4.83628577,5.28907073,33.69965347,0.62021805
50.2,4.86122951,5.28861027,33.60474039,0.61940867
50.4,4.88617325,5.28883298,33.50914511,0.62107031
50.6,4.91111699,5.29239768,33.51194882,0.62993154
50.8,4.93606074,5.2403855,33.57280238,0.48773759
51.0,4.96100868,5.23960728,33.08896395,0.48289123
51.2,4.98595127,5.14911756,32.56049966,0.41823666
51.4,5.01098659,5.08562581,32.23161418,0.39955338
51.6,5.03622352,5.04451906,31.99651998,0.39188236
51.8,5.06130047,4.99990911,31.86677227,0.25079179
52.0,5.06903166,4.99568345,31.8820276,0.20166733
52.2,5.05038105,4.88608606,31.87960026,0.13188517
52.4,5.03271334,4.85962431,31.87141965,0.11879244
52.6,5.0154061,4.86083378,32.00149234,-0.04355481
52.8,4.99808869,4.86081585,32.1936122,-0.10937246
53.0,4.98072264,4.86076307,32.30370648,-0.1102745
53.2,4.9633767,4.86081759,32.31677286,-0.10973815
53.4,4.94603077,4.86093617,32.31862468,-0.11310855
53.6,4.92868483,4.86085708,32.31829385,-0.12642062
53.8,4.9113389,4.8592859,32.31871934,-0.18196498
54.0,4.89399296,4.85735367,32.31972972,-0.17735471
54.2,4.87664703,4.89356529,32.31488379,-0.29577812
54.4,4.85930109,4.94459669,32.38095838,-0.32303672
54.6,4.84195516,4.98853523,32.43831216,-0.32121389
54.8,4.82460922,4.9885874,32.50714436,-0.40512792
55.0,4.80726328,5.02242538,32.61720786,-0.45744948
55.2,4.78991735,5.03168516,32.69412267,-0.47025489
55.4,4.77257141,5.0409325,32.79552254,-0.46619467
55.6,4.75522548,5.0771634,32.94442075,-0.6041586
55.8,4.73787954,5.11890101,32.13561294,-0.69491232
56.0,4.72053361,5.16070475,32.20230142,-0.80511942
56.2,4.70318767,5.16197189,32.20223872,-0.93224924
56.4,4.68584472,5.16154723,32.19234821,-1.05253947
56.6,4.66847332,5.15919343,32.19075434,-1.06645957
56.8,4.65092532,5.21512872,32.19276206,-1.2084772
57.0,4.63325311,5.30400884,32.1928258,-1.25807534
57.2,4.61630494,5.40101088,32.18815365,-1.32943677
57.4,4.61630745,5.4710841,32.27154849,-1.34714786
57.6,4.66925132,5.5348536,32.36813914,-1.35069172
57.8,4.72093097,5.63484799,32.37962358,-1.35330756
58.0,4.77221023,5.71601359,32.38214098,-1.36214173
58.2,4.82370389,5.81635946,32.37610901,-1.21179414
58.4,4.87530965,5.90344717,32.44645618,-1.17177767
58.6,4.92640834,5.98965642,32.43741549,-0.9641195
