DEPT,ÃÇ,ÏÇ,SP,CALI
3011.0,7.65281933,5.37660565,,24.37729413
3011.2,7.95053348,5.38686881,,24.3692076
3011.4,8.08411106,5.39382618,,24.34806628
3011.6,8.07396471,5.37876036,,24.32213813
3011.8,8.03076751,5.33758866,,24.30118554
3012.0,8.04377869,5.29002168,,24.2917106
3012.2,8.10117961,5.26068384,,24.29499359
3012.4,8.11782845,5.25245641,,24.30711872
3012.6,8.02816901,5.24484468,,24.32246444
3012.8,7.84167189,5.21866244,,24.33943771
3013.0,7.62016707,5.1760519,,24.36253971
3013.2,7.42838566,5.13449119,,24.39564223
3013.4,7.31745561,5.10587653,,24.43006474
3013.6,7.3275898,5.07634676,,24.44209884
3013.8,7.46573327,5.01932209,,24.4082867
3014.0,7.66623577,4.96103038,,24.32779907
3014.2,7.79923414,4.9955923,,24.22917554
3014.4,7.75164449,4.81880889,,24.15036416
3014.6,7.50993609,4.6544069,,24.10932635
3014.8,7.15629351,4.79007104,,24.0952408
3015.0,6.78536194,4.86590411,,24.08831135
3015.2,6.43624792,4.44496086,,24.08462379
3015.4,6.10615116,4.23855414,,24.09760587
3015.6,5.8061626,4.89210639,,24.13650982
3015.8,5.57494026,5.03732208,,24.18929649
3016.0,5.43509603,3.60036075,,24.23043182
3016.2,5.35978313,3.39388716,,24.24433722
3016.4,5.29407773,8.06240418,,24.23759567
3016.6,5.20224819,15.6667389,,24.22827697
3016.8,5.08069654,20.20524519,,24.22728974
3017.0,4.93446776,19.65820262,,24.23181685
3017.2,4.76440846,17.70422126,,24.23445098
3017.4,4.58284246,17.4027016,23.75,24.23314199
3017.6,4.42306684,16.99691959,23.75,24.23143453
3017.8,4.31739045,17.27111939,23.75,24.23205778
3018.0,4.26577148,17.36277658,24.75,24.23337645
3018.2,4.23636401,17.00212828,24.75,24.23254685
3018.4,4.19895004,16.52991413,25.75,24.23017159
3018.6,4.15149045,16.2516575,25.75,24.23017199
3018.8,4.11338573,16.12128577,25.75,24.23449536
3019.0,4.09957653,15.961368,26.25,24.23803456
3019.2,4.1065029,15.72576539,26.75,24.23165322
3019.4,4.11842125,15.49755718,27.25,24.21129559
3019.6,4.12166788,15.36652691,27.25,24.18404363
3019.8,4.11302708,15.34538677,27.75,24.16349426
3020.0,4.10226014,15.41279654,27.75,24.15756545
3020.2,4.10442418,15.53544359,27.86062595,24.16198252
3020.4,4.12301022,15.67751924,28.08993945,24.16622524
